,securityId,name,isin,issuerCode,sedol,cusip,cusip9,fsymId,activeFlag,factsetEntityId,fsUltimateParentEntityId,fsParentEntityId,fsParentParentEntityId,factsetUniverseType,factsetEntityName,factsetCompanyId,factsetCompanyCurrency
92,67396963,RACKSPACE FINANCE LLC 144A W/O RTS 3.5 USD 05/15/2028,US75008WAA18,RAX,BQFHCD,75008WAA,75008WAA1,RKTS89-S,True,0YZJ63-E,0NT7B4-E,0GZVYL-E,0BKBY6-E,FI,Rackspace Finance,VSC82Y-R,USD
93,44899274,MURPHY OIL USA INC 4.75 USD 09/15/2029,US626738AE88,MUSA,BJ9TBZ,626738AE,626738AE8,L6T93Q-S,True,064PFJ-E,00FHCG-E,00FHCG-E,,FI,Murphy Oil USA,QLCML4-R,USD
94,68177784,NFE FINANCING LLC 144A W/O RTS 12 USD 11/15/2029,US62909BAA52,NFE,BQWNRK,62909BAA,62909BAA5,PNB7QN-S,True,10TN4V-E,0JXNZL-E,0JXNZL-E,,FI,Nfe Financing,QZRML4-R,USD
95,67179886,HANESBRANDS INC 144A W/O RTS 9 USD 02/15/2031,US410345AQ54,HBI,BNC3FR,410345AQ,410345AQ5,V0F0NL-S,True,0089PB-E,0089PB-E,,,FI,Hanesbrands,H0P6P9-R,USD
96,66905235,SUNCOKE ENERGY INC 144A W/O RTS 4.875 USD 06/30/2029,US86722AAD54,SXC,BMFX8Z,86722AAD,86722AAD5,SYQMTF-S,True,06PNJ3-E,06PNJ3-E,,,FI,SunCoke Energy,RTGJYH-R,USD
97,67905911,NEWMARK GROUP INC 7.5 USD 01/12/2029,US65158NAD49,NMRK,BRCBD7,65158NAD,65158NAD4,B51S19-S,True,0HJRW8-E,0HJRW8-E,,,FI,Newmark Group,KNKY8H-R,USD
98,66823815,UNISYS CORP 144A W/O RTS 6.875 USD 11/01/2027,US909214BV97,UIS,BN7HDK,909214BV,909214BV9,BGDX46-S,True,000Y2H-E,000Y2H-E,,,FI,Unisys,BNLKX9-R,USD
99,66899052,DT MIDSTREAM INC 144A W/O RTS 4.125 USD 06/15/2029,US23345MAA53,DTMINC,BLN9LF,23345MAA,23345MAA5,QN2QY1-S,True,0NT7KS-E,0NT7KS-E,,,FI,DT Midstream,RRQYWB-R,USD
100,66899053,DT MIDSTREAM INC 144A W/O RTS 4.375 USD 06/15/2031,US23345MAB37,DTMINC,BLN9LB,23345MAB,23345MAB3,VR7WHN-S,True,0NT7KS-E,0NT7KS-E,,,FI,DT Midstream,RRQYWB-R,USD
101,38122982,FAIR ISAAC CORP 144A W/O RTS 5.25 USD 05/15/2026,US303250AE41,FAIRIC,BD2NL8,303250AE,303250AE4,B9X13Q-S,True,000JFV-E,000JFV-E,,,FI,FICO ISSAC,K38W6R-R,USD
102,68055979,US FOODS INC 144A W/O RTS 5.75 USD 04/15/2033,US90290MAJ09,USFOOD,BSML61,90290MAJ,90290MAJ0,V1D64Y-S,True,000NCK-E,07WXZ8-E,07WXZ8-E,,FI,US Foods,MK2K6H-R,USD
103,68153252,XHR LP 144A W/O RTS 6.625 USD 05/15/2030,US98372MAE57,XHR,BT6NX2,98372MAE,98372MAE5,VYLKXN-S,True,0FBWLY-E,09SNJS-E,09SNJS-E,,FI,XHR,WCPG8P-R,USD
104,66882129,LCPR SR SECURED FIN DAC 144A W/O RTS 5.125 USD 07/15/2029,US50201DAD57,LILAPR,BMWLMK8,50201DAD,50201DAD5,SF5XT3-S,True,0LHRSD-E,0HMXJG-E,0HMXJG-E,,FI,LCPR Senior Secured,CYGKRS-R,USD
105,32952411,AMERIGAS PART/FIN CORP 5.75 USD 05/20/2027,US030981AL88,APU,BYNHPQ,030981AL,030981AL8,HTB9M1-S,True,0014BW-E,0014W4-E,0635JK-E,05MVK9-E,FI,AmeriGas Partners,RS288R-R,USD
106,68106687,LIFE TIME INC 144A W/O RTS 6 USD 11/15/2031,US53190FAE51,LTH,BQPDZB,53190FAE,53190FAE5,K2Q6SK-S,True,003HLJ-E,0P6Z0M-E,0P6Z0M-E,,FI,Life Time,FM6S64-R,USD
